id,track_name,track_artists,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5esegd3KQ5MTWi7XMsI8tY,Theme for Young Lovers,The Shadows,rock,0.525,0.5429999999999999,2.0,-9.589,1.0,0.0287,0.0324,0.815,0.138,0.7090000000000001,127.365,158560.0,4.0
1SIfiqUWxkstZh0CS6YZXM,"Hound Dog - Live At The Star-Club, Hamburg, Germany/1964",Jerry Lee Lewis,rock,0.217,0.968,0.0,-9.132,1.0,0.0592,0.0151,0.56,0.9,0.818,183.292,148960.0,4.0
3PgIhd4XmwtmV2XGU5qhzZ,Franklin's Tower - 2013 Remaster,Grateful Dead,rock,0.8320000000000001,0.47200000000000003,2.0,-14.402999999999999,1.0,0.0646,0.716,0.00179,0.0824,0.889,99.29,274942.0,4.0
2IzUfd8Dv5wfvLoe8yfpNA,Down Town,Petula Clark,rock,0.573,0.413,3.0,-15.732999999999999,1.0,0.0435,0.518,0.0,0.14800000000000002,0.574,119.435,198667.0,4.0
1b0xBtZzpq66e3wpSdWMGM,Moon Over Bourbon Street - Live In Berlin/2010,Sting,rock,0.38799999999999996,0.29,5.0,-15.850999999999999,0.0,0.0803,0.774,0.00047999999999999996,0.759,0.344,71.873,364653.0,4.0
5h6WFnkzymR5VwA7n7NJ6i,Dixieland,Jackyl,rock,0.642,0.552,7.0,-8.767999999999999,1.0,0.0286,0.0118,0.0126,0.055,0.251,119.134,361773.0,4.0
3aKzimkCrvzqBNXDwNf1fF,ONE OF US - GOLDHOUSE R333MIX,FEVER 333,rock,0.7020000000000001,0.6709999999999999,7.0,-6.724,0.0,0.297,0.00782,0.0,0.212,0.275,91.001,180989.0,4.0
1bYjWWpROUmKeBSWb0b6Qr,So You Want To Be A Rock & Roll Star - Live At The Wiltern/1985,Tom Petty and the Heartbreakers,rock,0.341,0.888,2.0,-12.37,1.0,0.0541,0.004220000000000001,0.00031299999999999996,0.9570000000000001,0.561,142.78,216500.0,4.0
631hvSSsxGYT3DOBVVS4qM,Learning How to Love,Colony House,rock,0.381,0.626,8.0,-6.2,1.0,0.0354,0.23,0.0,0.10800000000000001,0.391,165.06,213880.0,4.0
2TvKIKO2vAe51X5GKR3j6D,Here At The Western World,Steely Dan,rock,0.687,0.524,2.0,-12.994000000000002,1.0,0.0288,0.209,0.000266,0.174,0.568,109.221,241893.0,4.0
3fTVXXjERS6pr5zKao4SXm,No More Lies,Iron Maiden,rock,0.22,0.8370000000000001,5.0,-5.4110000000000005,1.0,0.0518,0.0137,0.0059299999999999995,0.14,0.171,93.83200000000001,442200.0,4.0
03urp9ycZwxy4spwV6YNay,"Let It Grow - Live at Madison Square Garden, NY, Sept. 1990",Grateful Dead,rock,0.5379999999999999,0.494,4.0,-12.074000000000002,0.0,0.0369,0.7809999999999999,0.0629,0.0735,0.62,137.05700000000002,690013.0,4.0
1EkWvu03py5sGihxA5J5GR,Jesús Pétur Kiljan og hin heilaga jómfrú og aumingja ég,Bubbi Morthens,rock,0.7609999999999999,0.498,0.0,-10.798,0.0,0.0319,0.607,5.24e-05,0.106,0.91,143.47299999999998,196998.0,4.0
09SPlF47uMPiK5zB3HuE8v,Muriel,Tom Waits,rock,0.39,0.0663,7.0,-21.107,1.0,0.0483,0.968,0.00603,0.114,0.162,80.334,213933.0,3.0
1vZ8CImKpkli1Q4mLEpyX8,Walk Out In The Rain - Remastered 2010,Badfinger,rock,0.488,0.263,7.0,-12.683,0.0,0.0272,0.6970000000000001,1.7800000000000002e-05,0.0981,0.29,84.727,207680.0,4.0
42L6ngjyn9f7kAtZwUmHQ9,Death or Glory,The Clash,rock,0.6759999999999999,0.845,0.0,-7.058,1.0,0.0456,0.0299,0.0,0.161,0.784,137.556,235067.0,4.0
0y6mhgH8GPKn7cb2xYFuE3,Take It All - Remastered 2010,Badfinger,rock,0.435,0.499,7.0,-7.252999999999999,1.0,0.0249,0.0626,0.00583,0.402,0.225,71.33800000000001,267720.0,4.0
7opTfJn2QyKdOI6lfJGpSJ,"Good Lovin' - Live at Harpur College, Binghamton, NY, May 2, 1970",Grateful Dead,rock,0.5,0.557,0.0,-13.319,1.0,0.0415,0.868,0.573,0.71,0.674,128.549,910547.0,4.0
2vYlAN22ryL6xtqH6K0guN,I Need To Be In Love - 1990 Remix,Carpenters,rock,0.287,0.359,9.0,-10.618,1.0,0.0346,0.715,0.000173,0.0895,0.134,143.56799999999998,229800.0,4.0
1q9aJhSdaexT8O4rPYZUjn,Too Little Too Late,Slightly Stoopid,rock,0.657,0.726,7.0,-6.662000000000001,1.0,0.0572,0.711,0.0,0.637,0.922,76.90899999999999,176427.0,4.0
2npStoMbQxG1LcIeF4PZrj,Leather and Lace (with Don Henley),Stevie Nicks,rock,0.5529999999999999,0.39799999999999996,3.0,-11.67,1.0,0.0303,0.664,0.0,0.114,0.392,76.074,229227.0,4.0
3ZyfJV5ZDLz1LWETetMmXL,"Jim's Fish Joke - Live at the Felt Forum, New York City, January 17, 1970, Second Show",The Doors,rock,0.314,0.42700000000000005,6.0,-21.656999999999996,1.0,0.316,0.595,0.00043799999999999997,0.972,0.0355,121.447,70533.0,1.0
61JjO8rJeDivJUghlapTv5,Roots Rockin',Aswad,rock,0.741,0.626,8.0,-6.619,1.0,0.105,0.115,0.00011499999999999999,0.934,0.6940000000000001,134.766,239787.0,4.0
4HNzt8SX8PILKZfx8W2cEo,Средняя школа № 7 - А мы любили,Hi-Fi,rock,0.8240000000000001,0.78,3.0,-7.28,0.0,0.0332,0.0896,1.47e-05,0.0344,0.96,124.959,184880.0,4.0
628iQ0ohhnpaCl7C1winR0,Back Door Man - Live At The Isle Of Wight Festival 1970,The Doors,rock,0.635,0.518,4.0,-13.607000000000001,0.0,0.0271,0.0543,0.0298,0.9470000000000001,0.79,87.01299999999999,257853.0,4.0
3FT04toL4pcfk9B5Qop9e6,Roots,Kyd the Band,rock,0.652,0.564,9.0,-7.237,0.0,0.0541,0.449,0.0,0.0801,0.5770000000000001,137.976,177388.0,4.0
5ciEireqen530DReWWZrqy,She Goes to Church on Sunday - Acetate Version 1970,? & The Mysterians,rock,0.713,0.47,2.0,-11.644,1.0,0.0432,0.102,8.39e-05,0.188,0.9059999999999999,116.616,160493.0,4.0
3e3xtjIJzliHs12RGbQBYO,Força Bruta,Jorge Ben Jor,rock,0.486,0.755,10.0,-6.8260000000000005,0.0,0.125,0.579,1.87e-06,0.153,0.871,129.121,308413.0,4.0
3besbqbQ0SNltlL36FAMD2,House of Fire,Alice Cooper,rock,0.479,0.9790000000000001,10.0,-5.077,0.0,0.107,0.0207,0.0,0.722,0.292,124.765,226427.0,4.0
1zJobivHJZYRbQo5mfLWrd,Victim or the Crime - Live October 1989 - April 1990,Grateful Dead,rock,0.389,0.774,9.0,-8.673,1.0,0.0516,0.185,0.0051,0.988,0.5,106.322,484667.0,4.0
4ACXdyrkA2jUE5qVR6MTFC,Icicles - Remastered 2010,Badfinger,rock,0.475,0.6779999999999999,9.0,-8.892000000000001,1.0,0.0481,0.529,3.3100000000000005e-05,0.209,0.465,136.714,153973.0,4.0
7mEn9XredSGKJuMeIh4DLY,Let’s Talk About Us - Live,Rockpile,rock,0.23600000000000002,0.878,6.0,-7.294,0.0,0.0776,0.0648,0.0054399999999999995,0.945,0.873,199.99,239427.0,4.0
5cBhPVRH2a8qG9z6Xdcd3z,"Jet City Woman - Live At The Hammersmith Odeon, London/1990",Queensrÿche,rock,0.299,0.945,4.0,-4.824,1.0,0.0813,0.00045099999999999996,0.0568,0.9620000000000001,0.27,109.68,330773.0,4.0
2v0QgowVkLxj9cB1jzj3C0,The Call of Ktulu (Live),Metallica,rock,0.226,0.899,8.0,-8.021,0.0,0.0754,5.02e-05,0.79,0.552,0.0811,133.27100000000002,554413.0,4.0
60NngcCnigdaQnCQc0TouF,"Los Angelenos - Live at Toad's Place, New Haven, CT - July 1980",Billy Joel,rock,0.542,0.853,2.0,-7.539,0.0,0.0593,0.271,4.1700000000000004e-05,0.731,0.721,129.94899999999998,229200.0,4.0
3kypLgSoNQRUR0v8XPWGIK,Where's the Party?,Eddie Money,rock,0.6920000000000001,0.687,9.0,-7.587000000000001,1.0,0.0449,0.111,0.0,0.039,0.7340000000000001,133.33700000000002,233627.0,4.0
55sjCMeQM26VxbNHhMtj2b,Going to California - 1990 Remaster,Led Zeppelin,rock,0.495,0.237,2.0,-17.701,1.0,0.0333,0.892,0.006379999999999999,0.0865,0.541,77.376,211467.0,4.0
6ztoHXNxkG4aMktYnvaTqL,Ain't It a Shame,? & The Mysterians,rock,0.336,0.701,4.0,-6.662999999999999,0.0,0.0295,0.0177,0.0143,0.0954,0.569,99.506,143012.0,4.0
7CIZCt6OLixQwqXIPjMbXH,Christmas Day,Chris Tomlin,rock,0.256,0.648,10.0,-4.237,1.0,0.0382,0.0202,0.0,0.299,0.331,179.688,263267.0,3.0
4H5WVVCiPTwwWE0vIDzI0a,(We Were) Born to Rock,Quiet Riot,rock,0.43,0.812,2.0,-13.697000000000001,1.0,0.0466,0.00365,0.00020899999999999998,0.134,0.23,92.21600000000001,216107.0,4.0
6A3rHCtV9sP5aRvBDth3wB,Buen Rock Esta Noche - Good Rockin' Tonight [Remasterizado],Los Teen Tops,rock,0.478,0.94,9.0,-6.926,1.0,0.10099999999999999,0.847,1.6e-05,0.254,0.85,95.646,136827.0,4.0
6L5BZEcZmD6RBJnimzlyKr,Nights In White Satin - Single Version / Mono Mix,The Moody Blues,rock,0.195,0.483,4.0,-4.9910000000000005,0.0,0.03,0.465,0.49700000000000005,0.0686,0.17300000000000001,84.71,269107.0,4.0
3vCBZo2jnSViXEUdy9fq1T,The Movement of a Hand,Bright Eyes,rock,0.45399999999999996,0.516,9.0,-9.657,1.0,0.0357,0.779,0.00576,0.114,0.13699999999999998,75.4,242868.0,4.0
